departamento,cultivo,n_periodos,anio_inicio,anio_fin,duracion_anios,gaps,completitud_pct,produccion_total,produccion_promedio,area_sembrada_promedio,area_cosechada_promedio,rendimiento_promedio,cv_produccion,std_produccion,cv_area_sembrada,cv_rendimiento,tendencia_produccion_pendiente,tendencia_produccion_r2,tendencia_produccion_pvalue,tendencia_area_pendiente,tendencia_area_r2,mk_tau_produccion,mk_pvalue_produccion,mk_tau_area,mk_pvalue_area,n_periodos_A,n_periodos_B,n_ciclos_completos,produccion_promedio_A,produccion_promedio_B,ratio_AB,diferencia_AB,porcentaje_A_mayor_B,hhi_tiempo_produccion,hhi_espacial_cultivo
boyaca,melon,32,2007,2024,18,4,88.88888888888889,19004.35,593.8859375,33.3375,32.153125,18.650463569227146,0.7564917777171402,449.2698286205854,0.6640279836313109,0.5042627942884444,-51.82618890714805,0.40202724675393503,9.761145306674022e-05,-3.097636783756955,0.5915529336373545,-0.32896081329386123,0.008202238662774744,-0.41464785031074125,0.0009265382981174126,17,15,15,610.2470588235294,575.3433333333334,1.0606659075859564,34.90372549019605,73.33333333333333,0.04857487705308869,0.11954846649300852
norte de santander,melon,35,2007,2024,18,1,97.22222222222221,18708.5,534.5285714285715,28.114285714285714,27.53142857142857,20.629222152654688,0.2913927076239234,155.75772773091919,0.43149155413942797,0.25421991464336935,7.602797918242071,0.06751614105110385,0.13170143386893057,1.6532034458728118,0.5262763087997101,0.11794477433664764,0.320027624919741,0.4868481829984598,4.729843434176387e-05,18,17,17,515.3055555555555,554.8823529411765,0.9286753359953827,-39.57679738562092,35.294117647058826,0.030928106238300123,0.11954846649300852
norte de santander,brocoli,35,2007,2024,18,1,97.22222222222221,18302.0,522.9142857142857,38.68571428571428,38.27142857142857,14.358132673251271,0.17210382000818683,89.995546108281,0.27937629153050825,0.22786193142163158,6.687291490592058,0.15646542994624707,0.018673062128800228,1.4021025161988645,0.47691295983136106,0.33986780014353074,0.004449506372540162,0.47724039621252035,8.7415906664333e-05,18,17,17,534.2777777777778,510.88235294117646,1.0457941533934627,23.395424836601364,35.294117647058826,0.02939352705737792,0.28815083691932863
boyaca,pimenton,34,2007,2024,18,2,94.44444444444444,18103.670000000002,532.4608823529412,42.71411764705882,41.1185294117647,13.581539784390216,0.4893621171481096,260.56618468678585,0.5374628605670329,0.20310655621909313,22.85007793084406,0.22339360833756788,0.0047623523195521765,2.6172761022305417,0.3775641592767569,0.24264059609731195,0.043763822110406095,0.3788248491948973,0.0017411109738228803,18,16,16,543.4283333333334,520.1225,1.044808354442143,23.305833333333453,56.25,0.03624799679592512,0.20914195862847876
caqueta,patilla,32,2007,2024,18,4,88.88888888888889,17768.1,555.253125,70.140625,61.421875,12.627682811533967,0.6684085185519346,371.13591870258216,1.082117531327806,0.6361195986260685,33.88883125482838,0.22847196683327867,0.0056594035147462494,5.379998528492072,0.13767715966506325,0.3531787872786854,0.004536128106787826,0.4924075341482502,8.040445190730996e-05,16,16,15,656.296875,454.209375,1.4449214638073025,202.08749999999998,80.0,0.04477526208775054,0.263014574837113
atlantico,aji,35,2007,2024,18,1,97.22222222222221,17723.399999999998,506.38285714285706,93.08285714285714,71.54285714285716,7.109793816902995,0.8570147204883675,433.97756277438657,0.6608343997093209,0.5095414386064668,37.106137034236326,0.20716522620512234,0.006008675229603988,-0.934793825897425,0.006544355744235066,0.20336134453781513,0.08572855119958067,-0.040438208343993476,0.7331506141121467,18,17,17,708.6666666666666,292.2,2.4252794889345197,416.46666666666664,94.11764705882352,0.048956835802896045,0.20793444438942935
norte de santander,coliflor,32,2007,2024,18,4,88.88888888888889,17640.0,551.25,35.25,35.125,16.530682954829615,0.2365759581449405,130.41249692739845,0.3226504075877877,0.19771593770702914,7.389705882352941,0.098603229866193,0.08008006912356977,1.3224789915966386,0.4152122320249796,0.24101865543834813,0.05960180589962372,0.41817217783009175,0.0011642281519628423,16,16,16,550.375,552.125,0.9968304278922345,-1.75,43.75,0.032944349319470795,0.2897697174055221
la guajira,algodon,18,2007,2024,18,18,50.0,17296.5,960.9166666666666,612.3888888888889,529.2222222222222,1.4099431796478243,1.2911071196153192,1240.6463496903539,0.8396138030889552,0.48905051715187836,-115.90127657671756,0.31892473679585476,0.014613407504831272,-39.09977866708399,0.21132098434284124,-0.3541002639140852,0.040671369157608335,-0.1836075442517479,0.28853665794721306,5,13,5,589.44,1103.7923076923075,0.5340135058853046,-514.3523076923075,60.0,0.1430193799489606,0.34808008457503015
valle del cauca,berenjena,34,2007,2024,18,2,94.44444444444444,16970.4,499.12941176470594,18.975882352941177,18.108235294117648,24.673213197767197,0.9972349061955693,497.7492721206262,0.7566797142624903,0.3391900849503995,-13.733947644650298,0.02117067595444988,0.41161172738074725,0.6910842060560414,0.06441677999456177,0.269643287059155,0.02515701943715187,0.3815950860887233,0.0017193941945611033,17,17,16,506.4588235294118,491.8,1.0298064732196255,14.65882352941179,56.25,0.05780082709208583,0.2698952625015421
choco,cebolla de rama,34,2007,2024,18,2,94.44444444444444,16741.539999999997,492.39823529411757,31.08823529411765,27.45294117647059,17.585063235935472,0.637539467337021,313.9233086471009,0.4910558527692617,0.3226295016968242,-12.98534252916128,0.04941880786377396,0.20635991196324927,-0.29145837190643725,0.01052765673999006,-0.173776222559058,0.1534984884368536,0.005445542997467751,0.9644175375055037,18,16,16,518.6716666666666,462.84062500000005,1.120626925665107,55.83104166666658,68.75,0.041014763745335914,0.28987950216277486
